matchid,blue_dragon,blue_firstdragon,blue_HORDE,red_dragon,red_firstdragon,red_HORDE,blue_firstkill,red_firstkill,player1kills,player1assists,player1deaths,player2kills,player2assists,player2deaths,player3kills,player3assists,player3deaths,player4kills,player4assists,player4deaths,player5kills,player5assists,player5deaths,player6kills,player6assists,player6deaths,player7kills,player7assists,player7deaths,player8kills,player8assists,player8deaths,player9kills,player9assists,player9deaths,player10kills,player10assists,player10deaths,player0kills,player0assists,player0deaths
KR_6884147693,1,1,0,0,0,0,1,0,4,1,1,8,9,1,5,2,1,0,0,3,2,1,1,1,1,5,0,0,4,2,2,6,4,3,2,0,0,2,,,
KR_6909662696,0,0,5,1,1,1,1,0,3,1,4,2,3,3,2,3,3,3,4,3,3,5,1,3,2,1,6,6,1,3,1,4,2,3,4,0,0,3,,,
KR_6964573772,1,1,0,0,0,6,1,0,4,4,4,0,0,3,0,0,3,2,2,0,0,0,3,5,4,3,4,4,0,2,2,1,1,2,1,1,1,1,,,
KR_6906346122,2,1,1,0,0,5,0,1,6,4,5,1,1,2,5,3,2,3,3,4,1,1,2,6,2,2,3,5,4,2,2,5,3,2,1,1,1,4,,,
KR_6966414205,1,1,0,1,0,6,1,0,3,0,3,2,1,2,1,0,4,4,3,3,1,1,3,2,1,3,5,3,0,3,1,2,3,1,1,2,2,5,,,
KR_6973575922,0,0,1,1,1,5,0,1,2,4,2,1,1,3,4,6,3,3,2,2,1,1,2,1,0,0,7,10,4,2,0,3,2,2,1,0,0,3,,,
KR_6898910291,1,1,1,0,0,5,0,1,3,0,3,0,0,3,0,0,2,6,6,1,0,0,1,2,1,3,5,5,1,,,,1,0,4,1,1,1,1.0,0.0,0.0
KR_6956877103,0,0,0,1,1,6,0,1,0,0,2,4,7,2,0,0,2,4,6,6,0,0,3,3,2,1,2,2,2,4,8,2,5,7,1,1,2,2,,,
KR_6964627471,1,1,2,1,0,1,1,0,0,0,1,1,1,1,6,8,3,5,8,2,1,2,2,2,1,4,0,0,3,1,2,2,6,10,2,0,0,3,1.0,0.0,0.0
KR_6921339334,0,0,4,1,1,2,0,1,3,4,0,8,11,1,4,6,4,0,0,4,1,0,4,1,1,4,2,4,2,5,5,2,1,0,6,4,6,2,,,
KR_6973230618,0,0,3,1,1,3,0,1,4,1,0,1,2,3,0,0,3,1,1,5,0,0,6,0,0,4,4,6,0,2,3,0,7,9,2,4,6,0,,,
KR_6863114183,1,1,0,0,0,0,0,1,4,2,0,7,7,4,5,7,1,8,11,2,6,4,4,0,0,3,1,0,5,3,4,7,3,2,7,3,3,8,1.0,0.0,0.0
KR_6980418077,1,1,6,0,0,0,1,0,0,0,3,4,4,0,4,6,0,2,2,3,3,3,1,2,0,6,2,2,2,2,4,0,0,0,3,1,1,2,,,
KR_6967213888,0,0,0,1,1,6,1,0,1,0,3,6,8,7,1,0,4,3,4,3,0,0,2,2,0,2,8,12,2,7,6,2,0,0,3,2,3,2,,,
KR_6961226279,2,1,2,0,0,4,1,0,0,0,5,1,0,3,1,3,3,0,0,3,1,1,5,5,3,0,7,4,0,2,1,0,2,2,1,3,3,2,,,
KR_6654208256,1,1,0,0,0,0,0,1,4,2,2,6,5,0,3,4,3,6,5,3,1,1,3,0,0,4,4,4,2,2,2,5,2,2,4,3,0,5,,,
KR_6946991458,1,1,6,0,0,0,1,0,0,0,1,4,5,2,2,0,0,0,0,2,3,2,8,0,0,2,4,5,2,,,,4,5,3,5,6,2,,,
KR_6984526111,1,1,5,0,0,1,0,1,4,2,4,1,0,2,4,3,6,2,2,2,3,4,4,4,1,4,4,6,4,8,6,2,1,1,1,1,1,3,,,
KR_6891489528,1,1,0,0,0,0,1,0,6,0,2,5,6,0,0,0,1,4,6,0,0,0,2,2,1,7,0,0,2,1,1,2,2,3,2,0,0,2,,,
KR_6968094769,0,0,6,1,1,0,0,1,2,0,2,5,4,0,2,1,5,2,2,1,1,1,2,2,0,2,2,3,3,3,0,3,3,3,2,0,0,2,,,
KR_6760904746,1,1,0,0,0,0,0,1,1,1,4,0,0,4,2,4,2,2,4,0,0,0,2,3,0,0,5,3,2,1,0,0,2,0,2,1,2,1,,,
KR_6977591777,0,0,2,1,1,4,0,1,1,1,4,6,8,5,2,4,3,5,7,3,1,1,3,5,2,1,3,3,5,5,6,1,5,9,4,0,0,4,,,
KR_6987558312,1,0,6,1,1,0,1,0,4,0,3,2,2,2,5,6,4,0,0,2,0,0,2,3,0,5,4,7,3,5,2,3,1,2,0,,,,,,
KR_6969663061,1,1,3,0,0,3,1,0,3,1,0,2,2,2,1,1,1,4,4,2,1,1,2,0,0,3,2,4,3,4,6,0,1,1,3,0,0,2,,,
KR_6920159490,1,1,3,0,0,3,1,0,3,0,1,4,1,2,0,0,3,6,7,1,4,4,5,0,0,3,0,0,2,4,1,2,8,11,4,0,0,6,,,
KR_6979515758,0,0,0,2,1,6,0,1,0,0,12,1,1,7,2,3,1,1,1,2,0,0,5,12,3,0,5,9,1,2,4,0,8,3,0,0,0,3,,,
KR_6980198825,0,0,3,2,1,3,1,0,2,0,1,0,0,2,3,5,2,4,6,1,4,6,3,2,0,2,2,4,2,0,0,3,4,7,2,1,1,4,,,
KR_6973281560,1,1,3,0,0,3,1,0,,,,2,1,5,4,5,2,6,6,0,1,1,3,,,,8,8,3,0,0,3,2,2,4,0,0,3,,,
KR_6974609159,0,0,6,1,1,0,1,0,2,1,3,7,6,2,2,1,1,1,1,4,1,1,2,2,0,4,6,7,2,0,0,3,3,4,4,1,0,1,1.0,0.0,0.0
KR_6988815424,1,1,4,0,0,2,1,0,4,0,1,1,2,3,6,6,1,4,5,1,3,4,1,1,2,7,1,0,2,1,3,2,2,4,5,2,2,3,1.0,0.0,0.0
KR_6831382095,1,1,0,0,0,0,0,1,3,2,2,5,4,0,1,0,3,0,0,2,0,0,2,2,1,1,4,5,2,0,0,3,2,4,2,1,1,1,,,
KR_6971524616,2,1,1,0,0,5,1,0,5,0,4,4,7,4,3,3,1,4,4,6,1,2,6,3,1,5,3,4,2,4,1,3,7,5,5,4,4,2,,,
KR_6966175158,0,0,3,2,1,3,0,1,3,0,3,0,0,2,3,2,1,0,0,2,2,3,2,2,0,3,1,0,0,5,2,3,2,1,1,0,0,1,,,
KR_6968154667,0,0,3,2,1,3,0,1,2,2,1,5,6,3,1,1,0,1,2,5,1,1,5,1,0,2,2,2,3,0,0,2,10,8,1,1,0,2,,,
KR_6987417138,1,0,4,1,1,2,1,0,4,1,1,,,,1,2,0,5,8,2,5,7,1,0,0,4,1,2,3,,,,1,2,3,2,3,5,,,
KR_6941029951,1,1,5,0,0,1,0,1,2,0,1,3,2,5,3,2,2,2,1,2,0,0,2,4,5,1,4,5,4,2,2,4,1,3,1,1,2,0,,,
KR_6991194974,0,0,6,1,1,0,1,0,1,0,4,3,3,1,1,0,1,6,6,1,0,0,1,4,1,1,0,0,2,1,0,4,3,2,2,0,0,2,,,
KR_6984118923,0,0,3,2,1,3,0,1,0,0,4,1,0,1,1,2,3,4,8,2,0,0,2,4,0,2,1,1,0,3,3,1,2,4,2,2,2,2,1.0,0.0,0.0
KR_6972558939,0,0,5,2,1,1,1,0,5,11,2,0,0,2,3,4,1,1,2,3,1,1,2,1,0,3,3,7,2,1,1,2,4,9,2,1,3,1,,,
KR_6983193375,0,0,6,2,1,0,0,1,0,0,1,0,0,4,4,4,4,2,3,5,2,3,3,0,0,1,3,4,1,6,6,2,1,2,2,7,7,2,,,
KR_6986865136,2,1,2,0,0,4,1,0,3,1,4,5,2,2,0,0,1,7,9,0,1,2,1,3,2,4,4,4,4,0,0,3,1,3,2,0,0,4,1.0,0.0,0.0
KR_6984899809,0,0,2,1,1,4,1,0,2,4,3,6,8,3,0,0,2,0,0,1,0,0,1,2,2,2,2,2,3,4,3,3,1,1,0,1,1,0,,,
KR_6992739943,0,0,0,1,1,6,1,0,4,4,5,3,5,4,3,5,5,3,6,1,1,2,0,6,3,0,3,1,4,4,5,6,1,1,3,1,1,1,,,
KR_6942015279,1,1,1,1,0,5,1,0,6,7,5,2,3,2,3,3,2,5,6,3,2,2,3,5,5,4,2,2,3,5,6,3,2,2,4,1,3,4,,,
KR_6922931458,0,0,5,2,1,1,0,1,3,3,2,1,0,3,3,3,2,0,0,4,3,3,0,0,0,1,4,3,2,5,10,4,2,2,2,0,0,1,,,
KR_6977323394,0,0,6,1,1,0,0,1,2,3,3,2,2,2,5,2,1,3,4,3,4,4,7,3,3,2,3,4,3,4,8,5,2,2,3,4,3,3,,,
KR_6987304724,0,0,5,1,1,1,1,0,1,0,0,7,6,1,2,3,1,1,1,4,0,0,3,0,0,3,2,4,2,2,2,5,4,4,1,1,2,0,,,
KR_6837356977,0,0,0,1,1,0,1,0,3,4,1,4,5,2,1,0,5,5,8,0,1,0,3,2,3,3,1,2,1,4,7,3,3,4,3,1,0,4,,,
KR_6899474915,0,0,5,2,1,1,0,1,1,0,3,0,0,4,0,0,3,2,2,4,0,0,4,5,5,0,4,5,1,3,1,0,5,4,2,1,1,0,,,
KR_6842057342,0,0,0,1,1,0,0,1,2,3,1,4,4,2,3,2,8,1,1,6,0,0,2,0,0,4,4,5,2,6,4,3,6,5,0,2,2,1,1.0,0.0,0.0
KR_6990935081,2,1,3,0,0,3,0,1,2,0,6,2,4,2,4,5,0,1,1,3,2,3,4,3,1,2,4,4,3,2,2,1,4,7,2,2,2,3,,,
KR_6914289088,0,0,6,1,1,0,1,0,4,4,0,3,7,1,0,0,3,1,3,4,1,1,4,0,0,3,2,3,2,2,1,2,8,10,1,0,0,1,,,
KR_6983012214,0,0,5,1,1,1,0,1,0,0,2,1,1,2,4,5,3,6,8,6,4,5,4,1,0,3,5,3,1,4,5,2,5,6,5,2,2,4,,,
KR_6957526585,2,1,0,0,0,6,0,1,3,1,0,8,7,2,0,0,1,6,5,4,1,2,4,1,0,3,3,3,3,0,0,3,6,8,4,1,0,5,,,
KR_6830836895,1,1,0,0,0,0,0,1,3,0,2,1,1,1,4,5,2,3,5,3,0,0,4,1,1,5,1,2,3,5,2,1,2,2,1,2,2,1,1.0,0.0,0.0
KR_6992996642,1,1,0,0,0,6,1,0,7,1,3,5,5,2,1,2,2,6,11,1,4,5,0,1,0,7,2,1,5,4,5,2,0,0,4,1,1,5,,,
KR_6953808507,1,1,6,0,0,0,1,0,3,1,0,6,6,1,3,2,1,3,4,1,0,0,1,0,0,5,1,1,4,1,2,3,2,3,2,0,0,1,,,
KR_6989205372,2,1,6,0,0,0,1,0,6,1,0,8,10,0,2,2,1,9,14,2,,,,0,0,6,1,0,3,0,0,5,2,3,6,0,0,5,,,
KR_6945265121,0,0,0,2,1,6,1,0,0,0,3,0,0,4,1,0,1,3,3,4,2,3,3,2,1,0,8,9,0,3,2,0,1,2,2,1,1,4,,,
KR_6872663207,0,0,0,2,1,0,0,1,1,0,1,4,4,3,1,2,3,1,1,3,1,2,2,1,0,2,4,7,2,3,0,3,0,0,1,4,7,0,,,
KR_6966926390,1,1,6,0,0,0,1,0,5,3,4,9,12,3,4,3,1,2,2,1,3,6,3,2,1,1,4,3,6,1,0,7,3,4,5,2,2,4,,,
KR_6843653020,0,0,0,1,1,0,0,1,3,0,0,6,4,0,2,2,1,5,4,2,3,2,1,0,0,3,0,0,3,1,1,3,1,1,5,2,1,5,,,
KR_6620082220,1,1,0,1,0,0,1,0,1,1,1,9,12,2,3,3,2,4,4,1,0,0,1,1,0,4,1,1,4,3,1,3,2,4,2,0,0,4,,,
KR_6921539998,0,0,2,2,1,4,1,0,1,2,4,2,2,1,3,2,5,1,1,3,0,0,4,2,0,1,2,2,2,5,5,3,6,5,1,2,2,0,,,
KR_6985882199,1,1,2,0,0,1,1,0,1,0,3,3,4,1,5,3,1,12,14,4,0,0,1,3,1,3,2,1,1,2,2,2,2,2,7,1,1,8,,,
KR_6964940802,0,0,5,1,1,1,1,0,1,1,1,2,3,4,8,2,2,5,8,0,2,1,3,1,1,1,1,1,2,3,3,5,4,4,2,1,2,8,,,
KR_6824680703,1,1,0,0,0,0,1,0,3,5,1,4,7,2,3,6,4,1,2,4,6,8,2,,,,1,0,7,6,1,4,3,4,3,3,3,3,,,
KR_6716868655,0,0,0,1,1,0,0,1,1,1,4,3,3,0,0,0,4,2,3,1,5,5,2,3,1,1,2,2,2,4,1,1,2,2,2,0,0,5,,,
KR_6910092982,1,1,1,0,0,5,1,0,3,3,4,5,8,2,0,0,2,4,8,1,3,4,4,4,5,3,4,6,4,1,3,3,4,9,3,0,0,2,,,
KR_6952293109,0,0,1,1,1,5,1,0,5,1,6,2,3,2,5,4,4,0,0,2,0,0,2,4,0,5,8,8,2,2,1,2,1,1,0,1,1,3,,,
KR_6912355070,1,1,3,0,0,3,0,1,5,2,3,1,0,4,1,0,3,4,4,3,4,7,4,3,0,5,8,11,4,2,4,1,4,6,1,0,0,4,,,
KR_6830986602,0,0,0,0,0,0,0,1,4,2,2,1,1,4,5,3,0,3,6,2,0,0,4,3,8,3,2,4,4,3,4,2,3,5,1,1,2,3,,,
KR_6952238990,0,0,3,1,1,3,0,1,0,0,3,1,2,0,3,1,2,1,1,0,2,3,1,2,0,1,1,1,1,3,4,3,0,0,2,,,,,,
KR_6991932324,2,1,6,0,0,0,0,1,6,5,1,3,3,0,4,3,3,3,4,0,2,2,0,0,0,4,2,2,6,2,1,5,0,0,2,0,0,1,,,
KR_6975985611,0,0,0,2,1,6,0,1,2,0,5,3,3,1,2,0,2,2,2,1,0,0,2,5,3,2,4,4,0,0,0,2,0,0,2,2,2,3,,,
KR_6936930063,1,0,4,1,1,2,1,0,3,5,1,2,2,5,5,4,4,4,3,3,3,3,4,5,9,2,6,7,4,2,1,4,3,2,4,1,3,3,,,
KR_6967262840,1,1,6,0,0,0,0,1,3,5,1,2,2,1,2,1,3,2,3,2,0,0,3,2,2,2,4,7,2,2,3,3,1,2,0,1,1,2,,,
KR_6930156640,0,0,5,1,1,1,1,0,0,0,1,1,0,1,3,1,5,7,6,2,4,5,1,2,0,1,1,0,2,4,2,3,3,3,5,0,0,4,,,
KR_6990122666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR_6623816178,0,0,0,2,1,0,1,0,4,1,4,1,2,6,4,0,3,5,7,1,0,0,4,6,1,5,4,5,2,3,1,2,4,7,2,1,1,3,,,
KR_6761118042,1,1,0,0,0,0,0,1,0,0,3,1,0,2,3,5,2,3,3,4,1,1,4,3,0,1,3,5,0,3,1,1,6,5,4,0,0,2,,,
KR_6971741228,1,1,0,0,0,6,1,0,8,8,2,4,10,4,3,4,2,3,4,3,0,0,2,1,0,5,6,6,3,2,1,4,3,3,3,1,1,3,,,
KR_6930945970,1,0,6,1,1,0,1,0,3,2,3,4,5,1,3,2,0,4,4,3,4,4,2,3,1,4,1,0,0,1,2,3,2,2,5,2,1,6,,,
KR_6601283145,0,0,0,1,1,0,1,0,0,0,2,1,1,2,0,0,4,3,5,1,1,1,1,3,2,1,5,6,1,1,0,0,1,1,1,0,0,2,,,
KR_6863890810,0,0,0,1,1,0,1,0,3,0,2,4,7,3,1,3,4,2,3,4,3,2,3,1,0,3,7,10,4,4,6,1,3,3,3,1,1,2,,,
KR_6993543429,0,0,1,2,1,5,0,1,2,2,3,2,2,3,6,4,5,0,0,5,2,2,3,2,2,2,3,5,3,8,8,4,6,7,2,0,0,1,,,
KR_6854179971,1,0,0,1,1,0,0,1,0,0,2,2,3,1,3,2,1,4,4,4,0,0,2,,,,5,6,1,0,0,2,5,5,2,0,0,4,,,
KR_6989723003,0,0,1,1,1,2,0,1,3,1,2,1,1,3,6,4,2,4,7,4,1,1,7,2,1,4,4,3,1,0,0,3,7,8,5,5,4,3,1.0,0.0,0.0
KR_6929347562,1,1,6,0,0,0,0,1,2,0,1,1,1,1,4,4,3,4,4,1,2,3,3,1,0,2,5,7,2,1,1,2,2,3,2,0,0,5,,,
KR_6975199265,2,1,3,0,0,3,0,1,3,1,1,2,1,0,3,1,2,2,0,2,1,1,3,2,0,4,0,0,3,2,2,1,2,3,2,2,2,1,,,
KR_6993681377,2,1,3,0,0,3,1,0,2,1,2,7,9,1,5,5,0,1,2,5,0,0,4,1,0,3,1,1,4,2,3,2,4,8,2,4,5,4,,,
KR_6949522241,1,1,3,0,0,3,1,0,0,0,4,1,2,3,5,4,4,5,5,2,2,2,1,5,1,0,3,4,3,5,3,2,0,0,3,1,1,5,,,
KR_6715907353,0,0,0,0,0,0,0,1,1,1,2,3,4,2,4,3,3,1,2,3,2,2,1,,,,2,2,5,3,2,4,5,5,1,1,1,1,,,
KR_6993604800,0,0,2,1,1,4,0,1,,,,4,5,0,1,2,2,1,0,5,0,0,3,0,0,1,1,1,2,1,0,1,7,5,1,1,1,1,,,
KR_6761733924,1,1,0,0,0,0,1,0,4,5,1,4,6,2,2,3,1,3,4,1,1,2,2,0,0,3,0,0,3,4,5,2,1,2,2,1,1,4,1.0,0.0,0.0
KR_6985011592,1,1,1,0,0,5,1,0,2,0,2,5,6,2,3,1,2,0,0,2,1,2,2,0,0,3,5,5,1,2,1,3,2,2,3,1,0,1,,,
